interval|b_age|t_age|Ronov_globe|Ronov_CC|Ronov_Eur|Ronov_NAm|Ronov_SAm|Ronov_Afr|Ronov_Aus|Reference
Tpl|5.333|2.588|9.515|9.520|5.216|0.762|2.486|0.439|0.617|Khain, V.Y., Ronov, A.B., and Balukhovskiy, A.N. (1981) Neogene lithologic associations of the continents. International Geology Review 23, p. 426-454. https://doi.org/10.1080/00206818109455078
Tmi|23.030001|5.333|18.523|18.521|10.951|2.169|3.089|1.284|1.028|Khain, V.Y., Ronov, A.B., and Balukhovskiy, A.N. (1981) Neogene lithologic associations of the continents. International Geology Review 23, p. 426-454. https://doi.org/10.1080/00206818109455078
Tol|33.900002|23.030001|9.592|9.580|5.136|1.462|2.002|0.523|0.457|Ronov, A.B., Khain, V.Y., and Balukhovskiy, A.N. (1979) Paleogene lithologic associations of the continents. International Geology Review 21, p. 415-446. https://doi.org/10.1080/00206818209467074
Teo|56|33.900002|20.567|20.556|11.816|3.092|2.993|1.977|0.678|Ronov, A.B., Khain, V.Y., and Balukhovskiy, A.N. (1979) Paleogene lithologic associations of the continents. International Geology Review 21, p. 415-446. https://doi.org/10.1080/00206818209467074
Tpa|66|56|6.432|6.432|2.732|0.959|1.764|0.879|0.098|Ronov, A.B., Khain, V.Y., and Balukhovskiy, A.N. (1979) Paleogene lithologic associations of the continents. International Geology Review 21, p. 415-446. https://doi.org/10.1080/00206818209467074
UKt|100.5|66|47.938|47.934|18.882|12.126|9.199|6.154|1.573|Khain, V.Y., Ronov, A.B., and Balukhovskiy, A.N. (1976) Cretaceous lithologic associations of the world. International Geology Review 18, p. 1269-1295. https://doi.org/10.1080/00206817609471344
LKt|145|100.5|51.177|51.162|22.225|13.607|7.056|5.943|2.331|Khain, V.Y., Ronov, A.B., and Balukhovskiy, A.N. (1976) Cretaceous lithologic associations of the world. International Geology Review 18, p. 1269-1295. https://doi.org/10.1080/00206817609471344
UJr|163.5|145|25.218|25.314|13.480|6.360|2.300|2.455|0.719|Ronov, A.B. and Khain, V.E. (1962) Jurassic lithological formations of the world. Soviet Geology 1962, Iss. 1, p. 9–34 (in Russian).
MJr|174.100006|163.5|22.311|22.317|15.240|3.328|1.379|1.329|1.041|Ronov, A.B. and Khain, V.E. (1962) Jurassic lithological formations of the world. Soviet Geology 1962, Iss. 1, p. 9–34 (in Russian).
LJr|201.300003|174.100006|21.006|21.029|14.763|2.569|1.459|1.169|1.069|Ronov, A.B. and Khain, V.E. (1962) Jurassic lithological formations of the world. Soviet Geology 1962, Iss. 1, p. 9–34 (in Russian).
UTr|237|201.300003|33.757|33.734|17.807|4.815|5.263|5.289|0.560|Ronov, A.B. and Khain, V.E. (1961) Triassic lithological formations of the world. Soviet Geology 1961, Iss. 1, p. 27-48 (in Russian).
MTr|247.199997|237|12.998|12.998|8.519|2.630|1.539|0.090|0.220|Ronov, A.B. and Khain, V.E. (1961) Triassic lithological formations of the world. Soviet Geology 1961, Iss. 1, p. 27-48 (in Russian).
LTr|251.901993|247.199997|11.300|11.297|7.641|1.987|0.140|1.369|0.160|Ronov, A.B. and Khain, V.E. (1961) Triassic lithological formations of the world. Soviet Geology 1961, Iss. 1, p. 27-48 (in Russian).
UPm|272.950012|251.901993|18.073|18.137|12.852|1.482|0.868|1.694|1.241|Ronov, A.B. and Khain, V.E. (1956) Permian lithological formations of the world. Soviet Geology 54, p. 20-36 (in Russian).
LPm|298.899994|272.950012|32.634|32.556|17.792|6.675|3.864|1.584|2.641|Ronov, A.B. and Khain, V.E. (1956) Permian lithological formations of the world. Soviet Geology 54, p. 20-36 (in Russian).
UCb|323.200012|298.899994|33.276|32.270|14.586|8.645|4.368|3.871|0.800|Ronov, A.B. and Khain, V.E. (1955) Carboniferous lithological formations of the world. Soviet Geology 48, p. 92-117 (in Russian).
LCb|358.899994|323.200012|33.232|33.486|18.966|10.680|0.078|2.418|1.344|Ronov, A.B. and Khain, V.E. (1955) Carboniferous lithological formations of the world. Soviet Geology 48, p. 92-117 (in Russian).
UDv|382.700012|358.899994|31.834|31.627|18.408|7.124|0.432|2.511|3.152|Ronov, A.B. and Khain, V.E. (1954) Devonian lithological formations of the world. Soviet Geology 41, p. 46-76 (in Russian).
MDv|393.299988|382.700012|32.334|31.965|20.119|6.118|1.760|2.652|1.316|Ronov, A.B. and Khain, V.E. (1954) Devonian lithological formations of the world. Soviet Geology 41, p. 46-76 (in Russian).
LDv|419.200012|393.299988|27.108|26.880|16.980|0.667|4.290|4.142|0.801|Ronov, A.B. and Khain, V.E. (1954) Devonian lithological formations of the world. Soviet Geology 41, p. 46-76 (in Russian).
Sl|443.799988|419.200012|29.013|20.003|17.100|4.916|2.907|1.530|2.550|Khain, V.Y., Ronov, A.B., and Seslavinskiy, K.B. (1978) Silurian lithologic associations of the world. International Geology Review 20, p. 249-268. https://doi.org/10.1080/00206817809471379
Or|485.399994|443.799988|44.171|44.181|25.195|7.587|5.433|3.031|2.936|Ronov, A.B., Khain, V.Y., and Seslavinskiy, K.B. (1976) Ordovician lithologic associations of the world. International Geology Review 18, p. 1395-1412. https://doi.org/10.1080/00206817609471358
UCm|501|485.399994|20.090|19.380|10.540|4.110|2.050|0.300|2.380|Ronov, A.B., Seslavinskiy, K.B., and Khain, V.Y. (1977) Cambrian lithologic associations of the world. International Geology Review 19, p. 373-394. https://doi.org/10.1080/00206817709471032
MCm|511|501|21.972|21.950|13.210|3.640|2.530|0.570|2.000|Ronov, A.B., Seslavinskiy, K.B., and Khain, V.Y. (1977) Cambrian lithologic associations of the world. International Geology Review 19, p. 373-394. https://doi.org/10.1080/00206817709471032
LCm|541|511|26.101|26.100|17.490|3.940|1.060|0.330|3.280|Ronov, A.B., Seslavinskiy, K.B., and Khain, V.Y. (1977) Cambrian lithologic associations of the world. International Geology Review 19, p. 373-394. https://doi.org/10.1080/00206817709471032
V|635|541|38.996|38.997|22.811|6.042|2.569|4.614|2.960|Ronov, A.B., Khain, V.E., and Seslavinskiy, K.B. (1981) Vendian lithological complexes of the world. Soviet Geology 1981, Iss. 5, p. 37-59 (in Russian).
UR|1000|635|97.173|97.173|43.612|8.294|12.137|28.013|5.117|Khain, V.Y., Ronov, A.B., and Seslavinskiy, K.B. (1982) Upper Riphean lithologic complexes of the world. International Geology Review 24, 993-1008. https://doi.org/10.1080/00206818209451035
LMR|1600|1000|91.465|91.465|34.142|12.376|13.146|25.342|6.459|Ronov, A.B., Khain, V.Y., and Seslavinskiy, K.B. (1982) Lower and middle Riphean lithologic complexes of the world. International Geology Review 24, p. 509-525. https://doi.org/10.1080/00206818209451555
